"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the users endpoint returns 200 OK","26","test_list_users_status_code","tests.api","Tue Jan 14 17:33:32 GMT 2025","passed","Tue Jan 14 17:33:32 GMT 2025","","test_list_users","",""
"","3679","test_sanity_login[firefox]","tests.ui","Tue Jan 14 17:33:43 GMT 2025","passed","Tue Jan 14 17:33:47 GMT 2025","","test_sanity_login","",""
"Test that specific users exist on page 2","26","test_specific_users_on_page_two[8]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test that specific users exist on page 2","31","test_specific_users_on_page_two[12]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test pagination functionality","26","test_list_users_page_parameter","tests.api","Tue Jan 14 17:33:32 GMT 2025","passed","Tue Jan 14 17:33:32 GMT 2025","","test_list_users","",""
"Test that specific users exist on page 2","17","test_specific_users_on_page_two[11]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test that specific users exist on page 2","27","test_specific_users_on_page_two[9]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test successful user creation","304","test_create_user_success","tests.api","Tue Jan 14 17:33:32 GMT 2025","passed","Tue Jan 14 17:33:32 GMT 2025","","test_create_user","",""
"","4690","test_end_2_ebd[firefox]","tests.ui","Tue Jan 14 17:33:34 GMT 2025","passed","Tue Jan 14 17:33:39 GMT 2025","","test_e_2_e","",""
"","3589","Login With Locked User","tests.ui","Tue Jan 14 17:33:39 GMT 2025","passed","Tue Jan 14 17:33:43 GMT 2025","","test_negative_scenarios","",""
"Test that specific users exist on page 2","19","test_specific_users_on_page_two[7]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test that specific users exist on page 2","25","test_specific_users_on_page_two[10]","tests.api","Tue Jan 14 17:33:33 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
"Test the structure of user data in the response","29","test_list_users_data_structure","tests.api","Tue Jan 14 17:33:32 GMT 2025","passed","Tue Jan 14 17:33:32 GMT 2025","","test_list_users","",""
"Test response with invalid page number","302","test_list_users_invalid_page","tests.api","Tue Jan 14 17:33:32 GMT 2025","passed","Tue Jan 14 17:33:33 GMT 2025","","test_list_users","",""
